load data successfully ......
      Iter       Train Loss   Remaining Time 
       107           0.0000        11142.66m
       108           0.0000        11056.59m
       109           0.0000        10974.20m
       110           0.0000        10889.37m
       111           0.0000        10806.71m
       112           0.0000        10724.32m
       113           0.0000        10645.43m
       114           0.0000        10570.76m
       115           0.0000        10496.56m
       116           0.0000        10420.45m
       117           0.0000        10344.48m
       118           0.0000        10271.63m
       119           0.0000        10198.34m
       120           0.0000        10127.93m
       121           0.0000        10058.80m
       122           0.0000         9982.31m
       123           0.0000         9914.64m
       124           0.0000         9849.18m
       125           0.0000         9782.63m
       126           0.0000         9715.80m
       127           0.0000         9649.56m
       128           0.0000         9586.22m
       129           0.0000         9516.94m
       130           0.0000         9452.15m
       131           0.0000         9388.90m
       132           0.0000         9330.13m
       133           0.0000         9275.63m
       134           0.0000         9219.30m
       135           0.0000         9159.41m
       136           0.0000         9106.43m
       137           0.0000         9051.34m
       138           0.0000         8993.60m
       139           0.0000         8940.92m
       140           0.0000         8888.94m
       141           0.0000         8835.63m
       142           0.0000         8786.52m
       143           0.0000         8737.36m
       144           0.0000         8687.06m
       145           0.0000         8637.01m
       146           0.0000         8590.69m
       147           0.0000         8544.18m
       148           0.0000         8500.02m
       149           0.0000         8455.82m
       150           0.0000         8411.03m
       151           0.0000         8363.39m
       152           0.0000         8317.86m
       153           0.0000         8274.13m
       154           0.0000         8233.13m
       155           0.0000         8188.95m
       156           0.0000         8148.75m
       157           0.0000         8105.54m
       158           0.0000         8062.35m
       159           0.0000         8021.09m
       160           0.0000         7980.45m
       161           0.0000         7938.99m
       162           0.0000         7897.81m
       163           0.0000         7856.83m
       164           0.0000         7817.31m
       165           0.0000         7779.86m
       166           0.0000         7744.31m
       167           0.0000         7709.09m
       168           0.0000         7672.39m
       169           0.0000         7636.82m
       170           0.0000         7601.98m
       171           0.0000         7564.48m
       172           0.0000         7530.33m
       173           0.0000         7496.14m
       174           0.0000         7464.17m
       175           0.0000         7433.04m
       176           0.0000         7400.73m
       177           0.0000         7369.00m
       178           0.0000         7334.76m
       179           0.0000         7302.72m
       180           0.0000         7269.17m
       181           0.0000         7238.79m
       182           0.0000         7206.10m
       183           0.0000         7175.74m
       184           0.0000         7144.60m
       185           0.0000         7112.39m
       186           0.0000         7079.15m
       187           0.0000         7049.55m
       188           0.0000         7020.94m
       189           0.0000         6989.33m
       190           0.0000         6960.80m
       191           0.0000         6931.75m
       192           0.0000         6903.64m
       193           0.0000         6877.63m
       194           0.0000         6851.36m
       195           0.0000         6825.69m
       196           0.0000         6797.23m
       197           0.0000         6770.80m
       198           0.0000         6745.22m
       199           0.0000         6718.43m
       200           0.0000         6690.75m
       201           0.0000         6666.23m
       202           0.0000         6637.13m
       203           0.0000         6609.73m
       204           0.0000         6582.65m
       205           0.0000         6556.61m
       206           0.0000         6532.96m
       207           0.0000         6509.15m
       208           0.0000         6485.70m
       209           0.0000         6462.10m
       210           0.0000         6437.84m
       211           0.0000         6410.75m
       212           0.0000         6385.33m
       213           0.0000         6360.47m
       214           0.0000         6337.31m
       215           0.0000         6314.45m
       216           0.0000         6293.57m
       217           0.0000         6271.64m
       218           0.0000         6250.79m
       219           0.0000         6228.78m
       220           0.0000         6204.93m
       221           0.0000         6179.03m
       222           0.0000         6159.13m
       223           0.0000         6137.22m
       224           0.0000         6117.44m
       225           0.0000         6096.96m
       226           0.0000         6076.31m
